,PERSON_ID,GAME_DATE
0,1630173,APR 23 2022
0,203500,APR 21 2022
0,1628389,APR 22 2022
0,1630583,APR 21 2022
0,200746,APR 23 2022
0,1629638,APR 21 2022
0,1628960,APR 22 2022
0,1630631,APR 22 2022
0,203937,APR 21 2022
0,203507,APR 22 2022
0,203648,APR 22 2022
0,1628384,APR 23 2022
0,1629028,APR 22 2022
0,1628962,APR 21 2022
0,1628366,APR 22 2022
0,1630217,APR 21 2022
0,1630625,APR 23 2022
0,1630567,APR 23 2022
0,203115,APR 21 2022
0,1629646,APR 23 2022
0,1627736,APR 21 2022
0,202722,APR 21 2022
0,201976,APR 21 2022
0,203920,APR 23 2022
0,202687,APR 22 2022
0,202357,APR 21 2022
0,203992,APR 22 2022
0,202711,APR 21 2022
0,1630195,APR 21 2022
0,1629067,APR 23 2022
0,1626164,APR 22 2022
0,1628449,APR 23 2022
0,1628396,APR 22 2022
0,1628969,APR 22 2022
0,1629717,APR 23 2022
0,1628415,APR 21 2022
0,1628971,APR 23 2022
0,1627759,APR 23 2022
0,1628425,APR 21 2022
0,1629718,APR 23 2022
0,1630602,APR 22 2022
0,1628972,APR 22 2022
0,1628973,APR 21 2022
0,203493,APR 21 2022
0,203504,APR 21 2022
0,1630215,APR 21 2022
0,202710,APR 22 2022
0,1630267,APR 21 2022
0,1628427,APR 21 2022
0,203991,APR 22 2022
0,1628975,APR 22 2022
0,1627936,APR 22 2022
0,1630551,APR 23 2022
0,1629185,APR 21 2022
0,1627737,APR 21 2022
0,1629109,APR 22 2022
0,1629634,APR 21 2022
0,203903,APR 21 2022
0,1629651,APR 23 2022
0,1628381,APR 22 2022
0,201144,APR 21 2022
0,1626192,APR 22 2022
0,1629076,APR 22 2022
0,1630536,APR 22 2022
0,202326,APR 21 2022
0,1628470,APR 22 2022
0,203109,APR 22 2022
0,1629633,APR 21 2022
0,203552,APR 23 2022
0,201939,APR 21 2022
0,201942,APR 22 2022
0,203473,APR 22 2022
0,203476,APR 22 2022
0,203915,APR 21 2022
0,1629029,APR 21 2022
0,1630245,APR 22 2022
0,201609,APR 23 2022
0,203083,APR 23 2022
0,1630561,APR 23 2022
0,201142,APR 23 2022
0,1630162,APR 21 2022
0,1630556,APR 23 2022
0,203954,APR 23 2022
0,1627827,APR 21 2022
0,1630238,APR 23 2022
0,1630201,APR 23 2022
0,1627854,APR 21 2022
0,1630235,APR 21 2022
0,201568,APR 22 2022
0,200752,APR 21 2022
0,203497,APR 21 2022
0,203932,APR 21 2022
0,1628984,APR 22 2022
0,201980,APR 23 2022
0,203110,APR 21 2022
0,203210,APR 21 2022
0,1629750,APR 22 2022
0,201145,APR 21 2022
0,1630182,APR 21 2022
0,201933,APR 23 2022
0,203501,APR 21 2022
0,201935,APR 23 2022
0,1629607,APR 22 2022
0,203925,APR 23 2022
0,202699,APR 23 2022
0,2617,APR 22 2022
0,1630573,APR 23 2022
0,1629637,APR 22 2022
0,1627823,APR 21 2022
0,1626195,APR 22 2022
0,1629639,APR 22 2022
0,1629312,APR 22 2022
0,201588,APR 22 2022
0,1630792,APR 22 2022
0,1628988,APR 22 2022
0,201950,APR 22 2022
0,201143,APR 23 2022
0,1627863,APR 21 2022
0,1630210,APR 21 2022
0,1628989,APR 22 2022
0,1629631,APR 22 2022
0,1630538,APR 21 2022
0,201586,APR 22 2022
0,2738,APR 21 2022
0,1627742,APR 22 2022
0,202681,APR 23 2022
0,1628991,APR 21 2022
0,1630198,APR 23 2022
0,1629661,APR 22 2022
0,1630525,APR 23 2022
0,1630552,APR 22 2022
0,203999,APR 21 2022
0,1630529,APR 22 2022
0,1626145,APR 21 2022
0,1627884,APR 22 2022
0,201599,APR 23 2022
0,1628467,APR 21 2022
0,1630233,APR 21 2022
0,1628995,APR 22 2022
0,1629723,APR 21 2022
0,1627788,APR 23 2022
0,1628436,APR 23 2022
0,1630228,APR 21 2022
0,203897,APR 22 2022
0,1627774,APR 21 2022
0,1627814,APR 21 2022
0,1630184,APR 22 2022
0,1626172,APR 21 2022
0,201572,APR 20 2022
0,200768,APR 22 2022
0,1630994,APR 22 2022
0,1627789,APR 22 2022
0,1630572,APR 22 2022
0,1626246,APR 21 2022
0,1630230,APR 22 2022
0,1628997,APR 22 2022
0,202083,APR 22 2022
0,1630178,APR 23 2022
0,1630219,APR 22 2022
0,203468,APR 22 2022
0,1630183,APR 21 2022
0,201580,APR 22 2022
0,1629162,APR 21 2022
0,1629001,APR 21 2022
0,203114,APR 22 2022
0,201988,APR 23 2022
0,200794,APR 23 2022
0,1629003,APR 23 2022
0,1628378,APR 21 2022
0,202328,APR 21 2022
0,1630541,APR 21 2022
0,1629630,APR 21 2022
0,1629752,APR 23 2022
0,202693,APR 22 2022
0,1628420,APR 21 2022
0,1628539,APR 22 2022
0,1630530,APR 22 2022
0,1627750,APR 21 2022
0,1629004,APR 23 2022
0,1626204,APR 22 2022
0,1630174,APR 23 2022
0,1627777,APR 23 2022
0,1630192,APR 21 2022
0,1629669,APR 21 2022
0,1628373,APR 21 2022
0,1629670,APR 22 2022
0,1626220,APR 21 2022
0,1629006,APR 21 2022
0,1630168,APR 22 2022
0,203506,APR 22 2022
0,1629672,APR 21 2022
0,101108,APR 22 2022
0,1626166,APR 22 2022
0,203901,APR 22 2022
0,1627780,APR 21 2022
0,1629033,APR 21 2022
0,1630582,APR 21 2022
0,1629673,APR 21 2022
0,1629008,APR 21 2022
0,203490,APR 21 2022
0,1626171,APR 22 2022
0,203939,APR 21 2022
0,1629619,APR 23 2022
0,1627752,APR 21 2022
0,1630202,APR 23 2022
0,1628432,APR 21 2022
0,1630194,APR 23 2022
0,1629675,APR 21 2022
0,203085,APR 21 2022
0,1629130,APR 22 2022
0,1626156,APR 21 2022
0,1630346,APR 23 2022
0,203967,APR 22 2022
0,1629013,APR 22 2022
0,1630549,APR 23 2022
0,1627783,APR 23 2022
0,1627732,APR 23 2022
0,1630250,APR 22 2022
0,1630606,APR 22 2022
0,203935,APR 23 2022
0,1630270,APR 21 2022
0,203503,APR 22 2022
0,1630531,APR 23 2022
0,203917,APR 23 2022
0,1629622,APR 22 2022
0,1628369,APR 23 2022
0,202066,APR 22 2022
0,1630179,APR 21 2022
0,1628464,APR 23 2022
0,1630271,APR 23 2022
0,1630560,APR 23 2022
0,1629744,APR 22 2022
0,202691,APR 21 2022
0,202684,APR 22 2022
0,1629680,APR 23 2022
0,1629681,APR 21 2022
0,1630214,APR 21 2022
0,1629308,APR 21 2022
0,1626157,APR 21 2022
0,1629018,APR 23 2022
0,200782,APR 22 2022
0,1629730,APR 22 2022
0,202685,APR 22 2022
0,1627832,APR 23 2022
0,1629020,APR 21 2022
0,1629216,APR 22 2022
0,202696,APR 22 2022
0,1630688,APR 22 2022
0,1629139,APR 23 2022
0,1629683,APR 21 2022
0,1629632,APR 22 2022
0,1628401,APR 23 2022
0,202355,APR 21 2022
0,203952,APR 21 2022
0,1629623,APR 22 2022
0,1629684,APR 23 2022
0,101150,APR 22 2022
0,1630172,APR 22 2022
0,1630533,APR 21 2022
0,1629057,APR 23 2022
0,1629627,APR 22 2022
0,1630164,APR 21 2022
0,1626153,APR 22 2022
0,1630589,APR 21 2022
0,1630593,APR 21 2022
