PERSON_ID,SALARY
203999,"$30,510,423"
1627745,"$1,977,011"
1630529,"$1,700,000"
1630539,"$2,770,560"
1630222,
1630200,"$1,517,981"
1626145,"$7,522,200"
1627884,"$9,720,900"
201599,"$11,109,327"
202709,"$7,310,000"
1628379,"$12,727,273"
1630296,
1630557,"$3,383,640"
1628467,"$8,750,000"
1630233,
1628995,"$5,845,978"
1629723,"$2,197,674"
1627788,"$4,629,630"
1628436,"$606,702"
1630249,"$925,258"
1629083,
1630228,"$5,466,360"
1628398,"$13,000,000"
203897,"$19,500,000"
1630237,
203087,"$10,500,000"
1629111,"$925,258"
1629641,"$3,804,360"
1627774,"$3,940,184"
1627747,"$17,500,000"
1627814,"$1,910,860"
1630240,"$1,489,065"
203458,"$3,731,707"
202695,"$39,344,900"
1630575,
1630184,"$3,822,240"
203081,"$39,344,900"
1629642,"$2,316,240"
1630587,"$1,057,260"
1626172,"$5,178,572"
201572,"$13,302,325"
201577,"$5,000,000"
1629712,"$1,786,878"
201567,"$31,300,000"
200768,"$26,984,128"
1630994,
1627789,"$1,939,350"
1626168,"$2,500,000"
1630177,"$2,000,000"
1630572,
1629611,"$1,782,621"
1630544,"$2,901,240"
1626246,"$3,500,000"
1628374,"$15,690,909"
1630230,"$1,517,981"
1628997,"$527,614"
1628998,"$1,782,621"
1630231,"$1,517,981"
1629726,"$1,093,598"
202083,"$1,958,501"
1630178,"$2,602,920"
1630219,"$34,231"
1630540,"$925,258"
1630644,
203468,"$30,864,198"
204456,"$7,500,000"
1630183,"$2,063,280"
1629667,"$1,782,621"
203926,"$13,750,000"
201580,"$5,000,000"
203585,"$1,939,350"
1629162,"$1,669,178"
203463,"$2,389,641"
1629001,"$8,437,500"
1629002,"$1,762,796"
203114,"$35,500,000"
201988,"$5,890,000"
200794,"$2,641,691"
1629003,"$1,846,738"
1630558,"$4,603,320"
1628378,"$28,103,550"
1630596,"$8,075,160"
1628370,"$1,789,256"
202328,"$55,208"
1630541,"$3,562,080"
1629875,
1629630,"$9,603,360"
1629752,"$19,186"
202693,"$2,641,691"
1628420,"$8,333,333"
202694,"$15,627,907"
1628539,
1630530,"$3,053,760"
1627749,"$15,428,571"
1627750,"$31,590,000"
203488,"$3,500,000"
1629004,"$1,729,217"
1626204,"$10,690,909"
1630612,"$58,493"
1630174,"$3,631,200"
203526,"$2,089,448"
1627777,"$3,300,000"
1630227,"$292,466"
1630192,"$2,498,760"
203457,"$8,800,000"
1629669,"$1,782,621"
1628373,"$1,789,256"
1629134,"$5,000,000"
203994,"$12,000,000"
1628021,"$4,650,000"
1629670,"$1,517,981"
1626220,"$8,678,571"
1629643,"$3,277,080"
1629006,"$4,087,904"
1630168,"$6,104,280"
1630171,"$6,720,720"
203506,"$2,389,641"
203482,"$12,195,122"
1626224,"$8,050,000"
1626162,"$12,000,000"
1629672,"$1,782,621"
101108,"$30,800,000"
1626166,"$6,500,000"
203901,"$2,239,544"
1627780,"$1,939,350"
1630691,
1629033,
203486,"$8,137,500"
1627751,"$8,750,000"
1630197,"$3,113,160"
1630582,
1629673,"$2,161,440"
1629645,"$2,130,240"
1629008,"$5,258,735"
203490,"$2,389,641"
1626171,"$4,347,600"
204001,"$31,650,600"
203939,"$11,000,000"
1629619,
1626181,"$15,517,242"
1630563,"$3,946,800"
1627752,"$15,057,692"
1630202,"$2,137,440"
1630243,
1629674,
1630193,"$2,210,640"
203944,"$19,800,000"
1630559,"$925,258"
1629629,"$4,670,160"
1628432,
1630194,"$1,517,981"
1629675,"$1,782,621"
1630208,"$1,517,981"
1626196,"$11,615,328"
203085,"$2,401,537"
1629130,"$15,560,000"
1629011,"$1,802,057"
1630526,"$2,000,000"
1629676,"$1,782,621"
200765,"$2,641,691"
201565,"$13,445,120"
203082,"$12,500,000"
1626179,"$17,905,263"
201937,"$17,809,524"
1626156,"$30,013,500"
1630346,
1627734,"$18,562,500"
203967,"$9,000,000"
203107,"$10,468,119"
1630648,
1629678,
203471,"$5,890,000"
1630206,
1630578,"$3,214,680"
1629012,"$6,349,671"
1629013,"$3,768,342"
1630549,"$2,009,040"
1627783,"$31,320,000"
1627732,"$31,590,000"
1630250,"$925,258"
1629014,"$3,938,818"
1630579,
1630606,
203935,"$14,339,285"
202397,"$4,500,000"
1630188,"$4,458,000"
1630270,
203503,"$2,389,641"
1630531,"$2,023,800"
203917,
202362,"$924,730"
1630205,"$1,517,981"
1630191,"$3,277,080"
1629622,"$1,669,178"
1630591,"$6,593,040"
1630256,"$1,517,981"
1628369,"$28,103,550"
1630678,"$21,270"
202066,"$4,910,000"
1630179,"$1,517,981"
1628464,"$8,372,093"
1630271,
1630560,"$2,036,280"
202738,"$276,039"
1629744,"$1,669,178"
202691,"$37,980,720"
202684,"$10,720,900"
